ID,Name,Keywords,CodeString,MasterID
3724,SB_MotifThree_quantile_aabc,"symbolic,motifs",SB_MotifThree_quantile.aabc,894
3725,SB_MotifThree_quantile_aaca,"symbolic,motifs",SB_MotifThree_quantile.aaca,894
3726,SB_MotifThree_quantile_aacb,"symbolic,motifs",SB_MotifThree_quantile.aacb,894
3727,SB_MotifThree_quantile_aacc,"symbolic,motifs",SB_MotifThree_quantile.aacc,894
3728,SB_MotifThree_quantile_abaa,"symbolic,motifs",SB_MotifThree_quantile.abaa,894
3729,SB_MotifThree_quantile_abab,"symbolic,motifs",SB_MotifThree_quantile.abab,894
3730,SB_MotifThree_quantile_abac,"symbolic,motifs",SB_MotifThree_quantile.abac,894
3731,SB_MotifThree_quantile_abba,"symbolic,motifs",SB_MotifThree_quantile.abba,894
3732,SB_MotifThree_quantile_abbb,"symbolic,motifs",SB_MotifThree_quantile.abbb,894
3733,SB_MotifThree_quantile_abbc,"symbolic,motifs",SB_MotifThree_quantile.abbc,894
3734,SB_MotifThree_quantile_abca,"symbolic,motifs",SB_MotifThree_quantile.abca,894
3735,SB_MotifThree_quantile_abcb,"symbolic,motifs",SB_MotifThree_quantile.abcb,894
3736,SB_MotifThree_quantile_abcc,"symbolic,motifs",SB_MotifThree_quantile.abcc,894
3737,SB_MotifThree_quantile_acaa,"symbolic,motifs",SB_MotifThree_quantile.acaa,894
3738,SB_MotifThree_quantile_acab,"symbolic,motifs",SB_MotifThree_quantile.acab,894
3739,SB_MotifThree_quantile_acac,"symbolic,motifs",SB_MotifThree_quantile.acac,894
3740,SB_MotifThree_quantile_acba,"symbolic,motifs",SB_MotifThree_quantile.acba,894
3741,SB_MotifThree_quantile_acbb,"symbolic,motifs",SB_MotifThree_quantile.acbb,894
3742,SB_MotifThree_quantile_acbc,"symbolic,motifs",SB_MotifThree_quantile.acbc,894
3743,SB_MotifThree_quantile_acca,"symbolic,motifs",SB_MotifThree_quantile.acca,894
3744,SB_MotifThree_quantile_accb,"symbolic,motifs",SB_MotifThree_quantile.accb,894
3745,SB_MotifThree_quantile_accc,"symbolic,motifs",SB_MotifThree_quantile.accc,894
3746,SB_MotifThree_quantile_baaa,"symbolic,motifs",SB_MotifThree_quantile.baaa,894
3747,SB_MotifThree_quantile_baab,"symbolic,motifs",SB_MotifThree_quantile.baab,894
3748,SB_MotifThree_quantile_baac,"symbolic,motifs",SB_MotifThree_quantile.baac,894
3749,SB_MotifThree_quantile_baba,"symbolic,motifs",SB_MotifThree_quantile.baba,894
3750,SB_MotifThree_quantile_babb,"symbolic,motifs",SB_MotifThree_quantile.babb,894
3751,SB_MotifThree_quantile_babc,"symbolic,motifs",SB_MotifThree_quantile.babc,894
3752,SB_MotifThree_quantile_baca,"symbolic,motifs",SB_MotifThree_quantile.baca,894
